Player ID,Date,MoM,Chase,5H,5H_2,10_Haul,O,R,W,ECON,0s,4s,6s,WD,NB,O_2,R_2,W_2,ECON_2,0s_2,4s_2,6s_2,WD_2,NB_2,Result Label,Rating
191,2013-08-28,0,1,0.0,0.0,0.0,0.3588907014681893,0.3127753303964758,0.1111111111111111,0.10733333333333334,0.3256578947368421,0.3214285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06935
455,2013-08-28,0,1,0.0,0.0,0.0,0.3425774877650898,0.3392070484581498,0.1111111111111111,0.122,0.28618421052631576,0.17857142857142855,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06971666666666666
444,2013-08-28,0,1,0.0,0.0,0.0,0.30995106035889075,0.2511013215859031,0.3333333333333333,0.1,0.28289473684210525,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20249999999999999
160,2013-08-28,0,1,0.0,0.0,0.0,0.032626427406199025,0.022026431718061675,0.0,0.08333333333333333,0.023026315789473683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0020833333333333333
345,2013-08-28,0,1,0.0,1.0,0.0,0.11419249592169659,0.061674008810572695,0.2222222222222222,0.06666666666666667,0.11184210526315788,0.03571428571428571,0.0,0.0,0.0,0.2909090909090909,0.19,0.5555555555555556,0.09115384615384617,0.3214285714285714,0.2,0.0,0.0,0.0,0,0.5456121794871794
288,2013-08-28,0,1,0.0,0.0,0.0,0.1305057096247961,0.15859030837004406,0.1111111111111111,0.15,0.12171052631578946,0.14285714285714285,0.0,0.0,0.3571428571428571,0.12727272727272726,0.17500000000000002,0.1111111111111111,0.19230769230769232,0.11904761904761904,0.24,0.0,0.0,0.2,0,0.14189102564102563
125,2013-08-28,0,1,0.0,0.0,0.0,0.14681892332789562,0.11013215859030838,0.3333333333333333,0.09233333333333334,0.14473684210526316,0.07142857142857142,0.125,0.0,0.0,0.19999999999999998,0.20500000000000002,0.2222222222222222,0.1430769230769231,0.20634920634920634,0.24,0.0,0.0,0.1,0,0.33921858974358976
28,2013-08-28,0,1,0.0,0.0,0.0,0.14681892332789562,0.0881057268722467,0.1111111111111111,0.07400000000000001,0.15460526315789472,0.03571428571428571,0.125,0.0,0.0,0.18181818181818182,0.11,0.1111111111111111,0.08461538461538462,0.2103174603174603,0.2,0.0,0.0,0.0,0,0.13729871794871795
478,2013-08-28,0,1,0.0,0.0,0.0,0.07340946166394781,0.03524229074889868,0.3333333333333333,0.05499999999999999,0.08552631578947367,0.03571428571428571,0.0,0.0,0.07142857142857142,0.12727272727272726,0.115,0.0,0.12615384615384614,0.11904761904761904,0.12,0.0,0.0,0.1,0,0.20452884615384614
505,2013-08-28,0,1,0.0,0.0,0.0,0.3915171288743883,0.3744493392070485,0.4444444444444444,0.118,0.34868421052631576,0.42857142857142855,0.0,0.0,0.0,0.14545454545454545,0.155,0.1111111111111111,0.14884615384615385,0.1388888888888889,0.2,0.0,0.2,0.0,0,0.34000448717948717
