Player ID,Date,Chase,MoM,H,H_2,F,F_2,R,B,4s,6s,SR,R_2,B_2,4s_2,6s_2,SR_2,Result Label,Rating,Wicket2_0,Wicket2_1,Wicket2_2,Wicket2_3,Wicket2_4,Wicket2_5,Wicket2_6
558,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1044776119402985,0.06976744186046512,0.0,0.08927499771118164,0.06639004149377593,0.07086614173228346,0.05405405405405406,0.0,0.11109999656677247,1,0.14814907056925866,0,0,1,0,0,0,0
485,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.05,0.05037313432835821,0.06976744186046512,0.0,0.13887499809265136,0.004149377593360996,0.00984251968503937,0.0,0.0,0.05,1,0.09262643926766898,0,1,0,0,0,0,0
338,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.12333333333333334,0.11380597014925373,0.09302325581395349,0.06666666666666667,0.15162500381469726,0.0,0.003937007874015748,0.0,0.0,0.0,1,0.14012395842870076,0,0,1,0,0,0,0
300,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.12333333333333334,0.0914179104477612,0.06976744186046512,0.2,0.18877500534057617,0.11203319502074689,0.07874015748031496,0.08108108108108109,0.125,0.16875,1,0.22369469498137054,0,1,0,0,0,0,0
120,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.026119402985074626,0.023255813953488372,0.0,0.1606999969482422,0.03734439834024896,0.023622047244094488,0.02702702702702703,0.0,0.1875,1,0.1308460787618803,0,1,0,0,0,0,0
89,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.027985074626865673,0.0,0.0,0.033324999809265135,0.03319502074688797,0.025590551181102362,0.02702702702702703,0.0,0.1538249969482422,1,0.10758193110842593,0,0,0,0,1,0,0
520,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1044776119402985,0.11627906976744186,0.0,0.13392499923706055,0.12033195020746888,0.14763779527559054,0.08108108108108109,0.0,0.09664999961853027,1,0.20999674011661795,0,0,1,0,0,0,0
305,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.005597014925373134,0.023255813953488372,0.0,0.33332500457763675,0.2987551867219917,0.2755905511811024,0.16216216216216217,0.0,0.12854999542236328,1,0.2800088390387275,0,1,0,0,0,0,0
447,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.24666666666666667,0.26119402985074625,0.20930232558139533,0.0,0.13212499618530274,0.0,0.003937007874015748,0.0,0.0,0.0,1,0.22596979157129926,0,0,1,0,0,0,0
175,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,0.11567164179104478,0.18604651162790697,0.0,0.17739999771118165,0.008298755186721992,0.025590551181102362,0.0,0.0,0.03845000028610229,1,0.16387204524730417,0,1,0,0,0,0,0
278,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.0,0.0,0.03734439834024896,0.02952755905511811,0.02702702702702703,0.0,0.15,1,0.07989107883817428,0,1,0,0,0,0,0
444,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.15666666666666668,0.21641791044776118,0.11627906976744186,0.0,0.101274995803833,0.07053941908713693,0.08464566929133858,0.05405405405405406,0.0,0.09882499694824219,1,0.2640467598464644,0,0,0,0,1,0,0
313,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.014925373134328358,0.0,0.0,0.03125,0.0,0.033464566929133854,0.0,0.0,0.0,1,0.07811458333333333,0,0,0,0,1,0,0
455,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.01,0.033582089552238806,0.0,0.0,0.041649999618530276,0.0,0.0,0.0,0.0,0.0,1,0.058041249990463256,0,0,0,1,0,0,0
279,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,1,0,0,0
567,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.055970149253731345,0.09302325581395349,0.0,0.2666500091552734,0.0,0.0,0.0,0.0,0.0,1,0.13133291689554852,0,0,0,1,0,0,0
544,2015-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.009328358208955223,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,0.05358333333333334,0,0,0,1,0,0,0
22,2015-05-24,0,0.0,0.0,0.0,0.0,0.0,0.11333333333333334,0.06716417910447761,0.13953488372093023,0.0,0.23610000610351564,0.004149377593360996,0.005905511811023622,0.0,0.0,0.08332500457763672,1,0.14022352291571485,0,0,1,0,0,0,0
607,2015-05-24,0,0.0,0.0,0.0,0.0,0.0,0.09333333333333334,0.16791044776119401,0.046511627906976744,0.0,0.0777750015258789,0.16597510373443983,0.18503937007874016,0.10810810810810811,0.0,0.10637499809265137,1,0.23611965593790446,0,0,1,0,0,0,0
261,2015-05-24,0,0.0,1.0,0.0,0.0,0.0,0.41000000000000003,0.4458955223880597,0.41860465116279066,0.0,0.12864999771118163,0.2157676348547718,0.21850393700787402,0.16216216216216217,0.0,0.11710000038146973,1,0.5691810943506566,0,0,1,0,0,0,0
37,2015-05-24,0,0.0,0.0,0.0,0.0,0.0,0.07333333333333333,0.07835820895522388,0.06976744186046512,0.0,0.13095000267028808,0.049792531120331954,0.06496062992125984,0.05405405405405406,0.0,0.0909000015258789,1,0.14173435522246985,0,0,1,0,0,0,0
317,2015-05-24,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.11007462686567164,0.20930232558139533,0.0,0.21184999465942383,0.27385892116182575,0.27165354330708663,0.2972972972972973,0.0,0.11954999923706056,1,0.36665291132735683,0,0,1,0,0,0,0
218,2015-05-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.0,0.0,0.008298755186721992,0.04133858267716535,0.0,0.0,0.02380000114440918,1,0.05640412865931563,0,1,0,0,0,0,0
9,2015-05-24,0,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.04477611940298507,0.046511627906976744,0.0,0.09375,0.4107883817427386,0.38976377952755903,0.32432432432432434,0.0,0.125,1,0.36402061721991696,0,0,1,0,0,0,0
